Grandeza,Condicao,0,1,2,3,4
ER,disart,0.02098892355258927,0.018706331091348696,0.026663450419701577,0.02222301446445864,0.01803359605587019
ER,malleusfix,0.03001112115332913,0.020920301132675113,0.030591547134737457,0.02536192717447748,0.02631105820678298
ER,normal,0.015726651831847595,0.013593734937971318,0.011032274565661611,0.0158561095495269,0.01473507014320471
ER,stapesfix,0.03331371251745128,0.03723336200956129,0.042724941049770614,0.034575619969743086,0.0336699854449681
ER,All,0.025010102263804318,0.022613432292889105,0.027753053292467814,0.02450416778955153,0.023187427462706495
Hfp,malleusfix,0.1185230279759989,0.14525898421652092,0.11966130852829207,0.12218895736408326,0.11049711014268178
Hfp,normal,0.03324855066956178,0.03322045510654866,0.03981214727934778,0.03166805201414412,0.025652508344831036
Hfp,stapesfix,0.12442551673271969,0.13749184682012724,0.12525306977508538,0.13764764387096418,0.13043595918025938
Hfp,All,0.09206569845942679,0.10532376204773226,0.09490884186090842,0.09716821774973051,0.08886185922259073
Humbo,disart,0.0295256544022894,0.020616312498058967,0.031163991571568458,0.03502996209695593,0.02753609730597412
Humbo,malleusfix,0.06399290188350672,0.05597460422375328,0.05382447295617472,0.060991136389893785,0.06388265875440034
Humbo,normal,0.031253113997256075,0.026977141519750465,0.024652598121179946,0.025120207048029437,0.02629145225306627
Humbo,stapesfix,0.07054166846717251,0.07332171727957654,0.08062989244129895,0.07599493918377188,0.06386881385799105
Humbo,All,0.04882833468755618,0.04422244388028481,0.04756773877255552,0.04928406117966276,0.04539475554285795
Zme,disart,0.31918588402475645,0.3145202812642419,0.31642627534301265,0.3035861563552854,0.3087033522900083
Zme,malleusfix,0.18508111850352296,0.1861859043120744,0.18293919639637943,0.2109177375714236,0.19496012263924237
Zme,normal,0.21300789532887657,0.2071233013975769,0.2103498773836909,0.2081600928789833,0.21754665985214688
Zme,stapesfix,0.12372329634356904,0.11646046521292755,0.11615649738303255,0.11695503472942742,0.11842386776269832
Zme,All,0.21024954855018124,0.2060724880467052,0.2064679616265289,0.20990475538377995,0.20990850063602395
